YYYYMMDDHHmmSS	z0
20100514120000	9.999999747378752e-05
20100514130000	1.5899999198154546e-05
20100514140000	1.5899999198154546e-05
20100514150000	1.5899999198154546e-05
20100514160000	1.5899999198154546e-05
20100514170000	1.5899999198154546e-05
20100514180000	1.5899999198154546e-05
20100514190000	1.5899999198154546e-05
20100514200000	1.5899999198154546e-05
20100514210000	1.5899999198154546e-05
20100514220000	1.5899999198154546e-05
20100514230000	1.7463940821471624e-05
20100515000000	1.5899999198154546e-05
20100515010000	1.5899999198154546e-05
20100515020000	2.5824227122939192e-05
20100515030000	2.942600622191094e-05
20100515040000	2.7718333512893878e-05
20100515050000	3.787613968597725e-05
20100515060000	2.7078067432739772e-05
20100515070000	2.65052767645102e-05
20100515080000	3.249721339670941e-05
20100515090000	2.9367256502155215e-05
20100515100000	4.210352562949993e-05
20100515110000	4.283912494429387e-05
20100515120000	4.598527084453963e-05
20100515130000	3.449678479228169e-05
20100515140000	4.671791612054221e-05
20100515150000	4.674914089264348e-05
20100515160000	5.1551669457694516e-05
20100515170000	6.046653288649395e-05
20100515180000	0.00020187355403322726
20100515190000	0.00020408126874826849
20100515200000	0.00022161756351124495
20100515210000	0.0002995127870235592
20100515220000	0.00034358122502453625
20100515230000	0.00034216305357404053
20100516000000	0.00034857189166359603
20100516010000	0.0003736362268682569
20100516020000	0.0003888408245984465
20100516030000	0.00042951665818691254
20100516040000	0.0003905417397618294
20100516050000	0.0003176461032126099
20100516060000	0.00028864757041446865
20100516070000	0.00029291523969732225
20100516080000	0.00025930788251571357
20100516090000	0.00022153726604301482
20100516100000	0.00026762421475723386
20100516110000	0.00023210271319840103
20100516120000	0.00021803949493914843
20100516130000	0.00019660391262732446
20100516140000	0.00017167969781439751
20100516150000	0.00012959899322595447
20100516160000	5.8063746109837666e-05
20100516170000	3.8369813410099596e-05
20100516180000	4.033658478874713e-05
20100516190000	3.440052387304604e-05
20100516200000	2.4339000447071157e-05
20100516210000	1.5899999198154546e-05
20100516220000	1.5899999198154546e-05
20100516230000	1.5899999198154546e-05
20100517000000	1.5899999198154546e-05
